id	categorie	type	caracteristique	titre	description	special	collection	lien pixabay	texte_choixA	texte_choixB	peuple_modificateur_choixA	peuple_modificateur_choixA_matchtype	parti_modificateur_choixA	parti_modificateur_choixA_goodmatch	monde_modificateur_choixA	monde_modificateur_choixA_goodmatch	gouvernement_modificateur_choixA	gouvernement_modificateur_choixA_goodmatch	peuple_modificateur_choixB	peuple_modificateur_choixB_matchtype	parti_modificateur_choixB	parti_modificateur_choixB_goodmatch	monde_modificateur_choixB	monde_modificateur_choixB_goodmatch	gouvernement_modificateur_choixB	gouvernement_modificateur_choixB_goodmatch	special_choixA	special_choixB
60	planete	societe	conservateur	Pesticides : des substances toxiques, invisibles et omniprésentes	L’exposition aux pesticides dépasse largement le monde des agriculteurs, touchant notamment des personnes particulièrement vulnérables comme les femmes enceintes, les nourrissons et les enfants	0	normal	https://cdn.pixabay.com/photo/2016/04/28/22/23/agriculture-1359862_960_720.jpg	Réglementer l'usage des pesticides	Les pesticides ne sont pas dangereux pour la santé	3	3	2	-4	2	2	0	0	-3	-3	-2	4	-2	-2	-2	-2	NA	NA
61	societe	societe	progressiste	Nouvelles méthodes d'enseignement : la pédagogie du futur	Les récents progrès en neurosciences ont permis de développer un genre nouveau d'apprentissage basé sur le jeu plutôt que sur le travail répétitif. Les résultats obtenus dans les écoles test sont spectaculaires	0	normal	https://cdn.pixabay.com/photo/2016/10/03/14/25/republic-of-the-philippines-1711793_960_720.jpg	Une société de génies paresseux, c'est ce que j'ai toujours voulu pour le pays	Les enfants vont à l'école pour apprendre...le travail	2	3	-4	4	0	0	-2	-2	-2	-3	4	-4	0	0	2	2	NA	NA
62	societe	societe	progressiste	Partout dans le pays, des milliers de gens sont victimes de phénomènes paranormaux. Le Projet Sentinelle permettrait de lutter contre ces manifestations	Le paranormal est une chose difficile à comprendre et impossible à appréhender. Des experts, plus ou moins illuminés mais toujours diplomés, ont proposés de former une cellule de lutte contre le paranormal : le Projet Sentinelle	1	normal	https://cdn.pixabay.com/photo/2017/06/17/22/55/ufo-2413965_960_720.jpg	Initier le Projet Sentinelle	Ce ne sont que des superstitions	2	-3	2	-3	0	0	-2	-2	-2	-2	-2	3	0	0	2	2	paranormal	NA
63	sport	faits_divers	NA	Tennis, occultisme, pratiques malsaines...les révélations troublantes de Gérard Manvussa	Le champion mondial devrait ses nombreuses victoires aux malédictions dirigées contre ses adversaires. Le Projet Sentinelle a en effet identifier la première prophétesse du culte de Tenn'ys qui n'est autre que sa grand-mère	0	paranormal	https://cdn.pixabay.com/photo/2016/09/15/15/27/tennis-court-1671852_960_720.jpg	Arrêter tout les membres de la secte et leurs proches	J'ai rarement vu ça	2	NA	0	NA	2	NA	-2	NA	-2	NA	0	NA	-2	NA	2	NA	NA	NA
64	international	societe	progressiste	Des esprits maléfiques dans la ville ? Le Saint Siège offre son secours	Le Projet Sentinelle a détecté une puissance surnaturelle très dangereuse émanant d'un quartier de Westernia City. Le Vatican propose d'envoyer une escouade d'exorcistes d'élite	0	paranormal	https://cdn.pixabay.com/photo/2015/10/30/15/32/italy-1014258_960_720.jpg	Loué soit le Seigneur	L'Etat doit rester séparé de l'Eglise	2	2	2	-4	2	2	-2	-2	-2	-2	-3	3	-2	-2	2	2	NA	NA
65	culture	societe	progressiste	Le Projet Sentinelle a découvert un exemplaire du Necronomicon, le livre des cultes interdits	Ce livre maudit, dont la simple lecture peut rendre fou, se trouvait dans la bibliothèque sénatoriale depuis plus de 200 ans	0	paranormal	https://cdn.pixabay.com/photo/2014/09/05/18/32/old-books-436498_960_720.jpg	Ce livre appartient au Sénat	La culture doit être accessible à tous	-2	-2	2	-2	0	0	5	5	2	2	-2	2	0	0	-5	-5	NA	NA
66	sciences	faits_divers	NA	La branche scientifique du Projet Sentinelle a découvert un passage vers une autre dimension	Le passage dimensionnel serait rendu possible par un angle geométrique non-euclidien observé sur un des coins des toilettes du Sénat	0	paranormal	https://cdn.pixabay.com/photo/2015/05/16/00/43/psychedelic-769467_960_720.jpg	Visiblement, ce bâtiment n'est plus aux normes	Renforcer l'équipe d'entretien des toilettes du Sénat	2	NA	0	NA	2	NA	-4	NA	-2	NA	0	NA	-2	NA	4	NA	NA	NA
67	planete	societe	conservateur	Je leur ai dit qu'il y a des étoiles de mer volantes dans l'Antarctique et ils ne sont moqués de moi ; les imbéciles !	Tels sont les mots prononcés par le professeur Jean Bombeur à la conférence mondiale de zoologie. Très critiquée par ses pairs et aussi invraisemblable qu'elle puisse paraître, la découverte de cette nouvelle espèce a été confirmée par le Projet Sentinelle	0	paranormal	https://cdn.pixabay.com/photo/2015/04/20/13/28/ice-731329_960_720.jpg	Exploiter cette nouvelle ressource	Préserver cette espèce dont l'origine remonte à la nuit des temps	2	2	2	-2	-2	-2	2	2	2	2	-2	2	2	2	-2	-2	NA	NA
68	sciences	economie	pragmatique	Futur de l’énergie nucléaire après Fukushima	La crise japonaise annonce le développement de nouvelles centrales nucléaires encore plus sûres	0	normal	https://cdn.pixabay.com/photo/2014/10/23/15/53/coal-fired-power-plant-499910_960_720.jpg	Maintenir les subventions à l’énergie nuclaire	Le nucléaire doit être abandonné car trop dangereux	-2	-4	3	-3	0	0	3	-3	2	4	-3	3	0	0	-3	3	NA	NA
69	sciences	faits_divers	NA	Un médicament universel, efficace contre tous les virus ?	Un médicament révolutionnaire, potentiellement capable de détruire presque toute infection virale connue, vient d’être développé par des chercheurs du Westernian Institute of Sciences and Technology	0	normal	https://cdn.pixabay.com/photo/2017/05/30/22/57/nutrient-additives-2358476_960_720.jpg	Cela sera utile en cas d'attaques bactériologiques	Cela va réduire considérablement la biodiversité virale	3	NA	0	NA	-2	NA	0	NA	-3	NA	0	NA	2	NA	0	NA	NA	NA
70	sciences	economie	pragmatique	La mémoire humaine bientôt contrôlable ?	Les chercheurs ont réussi à manipuler la mémoire des rats via une prothèse cérébrale. Le neuro-scientifique en charge du projet, Camille Aunette, explique simplement : Allumez l’interrupteur et les rats se souviennent. Éteignez-le et les rats oublient	0	normal	https://cdn.pixabay.com/photo/2015/05/24/21/46/mri-782457_960_720.jpg	Encore un brevet dont les applications sont incompatibles avec notre ethique	C'est avec ce genre d'inventions que nous construirons une société meilleure	3	3	-3	3	3	3	0	0	-3	-3	3	-3	-3	-3	0	0	NA	NA
71	sciences	economie	pragmatique	Une exoplanète habitable à seulement 15 années lumières de la Terre ?	200 000 ans pour le voyage. Mais des perspectives economiques alléchantes : les scientifiques ont modélisé les conditions météorologiques. La planète serait jusqu'à 20 fois plus fertile que la Terre avec un taux d'erreur de 99% seulement	0	normal	https://cdn.pixabay.com/photo/2014/12/27/16/38/planet-581239_960_720.jpg	Il faut des réacteurs plus performant	Il faut des modélisations plus fiables	3	3	3	-3	0	0	0	0	-3	-3	-3	3	0	0	0	0	NA	NA
72	sciences	economie	communiste	Agriculture 2.0 : une nouvelle révolution agricole pour nourrir le monde	Des scientifiques ont découvert que la crise alimentaire mondiale serait dûe aux spéculations boursières sur les ressources plutôt que sur un supposé épuisement des terres fertiles	0	normal	https://cdn.pixabay.com/photo/2017/04/12/11/05/rice-terraces-2224264_960_720.jpg	Ont-ils découvert que c'est ce système qui les paye si bien ?	Plus aucun humain sur Terre ne devrait mourir de faim à notre époque	-3	-3	-3	3	-2	-2	2	2	-3	-3	-3	3	2	2	-2	-2	NA	NA
73	sciences	faits_divers	NA	Les parcelles experimentales de maïs transgéniques donnent des résultats encourageants	Ces cultures génétiquement modifiées sont plus productives et plus resistantes que les originales. Les grands laboratoires mondiaux promettent d'autres applications encore plus formidables. Toutefois la population est hostile à cette innovation	0	normal	https://cdn.pixabay.com/photo/2015/07/09/12/45/fields-837672_960_720.jpg	Autoriser les OGM	Interdire les OGM	-3	NA	0	NA	2	NA	2	NA	3	NA	0	NA	-2	NA	-2	NA	NA	NA
74	planete	societe	conservateur	Le droit à l'air pour tous	Menace pour la santé, la pollution de l'air n'est pas une fatalité. Des solutions existent mais certaines demandent un réel changement des mentalités	0	normal	https://cdn.pixabay.com/photo/2016/10/19/12/38/industry-1752876_960_720.png	Taxer l'utilisation d'appareils polluants	Autoriser la commercialisation d'air respirable en canette	-3	-3	4	-4	2	2	2	2	-3	-3	-4	4	-2	-2	-2	-2	NA	NA
75	planete	economie	capitaliste	Un trou dans la couche d'ozone	Cette couche absorbe les radiations solaires dangereuses. Sa disparition dramatique serait dûe à l'usage de certains produits chimiques	0	normal	https://cdn.pixabay.com/photo/2017/03/08/12/47/ozone-layer-2126671_960_720.jpg	Interdire la commercialisation de ces produits en esperant que le trou se resorbe	Aucune étude actuelle ne permet de prévoir les effets de la disparition de la couche d'ozone	3	3	4	-4	3	3	0	0	-3	-3	-4	4	-3	-3	0	0	NA	NA
76	planete	societe	reactionnaire	Sécheresse record	Près de la moitié des nappes phréatiques du pays sont à leur niveau le plus bas jamais enregistré. Les westerniens doivent apprendre à vivre avec les restrictions d'eau 	0	normal	https://cdn.pixabay.com/photo/2014/03/05/21/12/desert-279862_960_720.jpg	Sensibiliser le peuple au gaspillage de l'eau	Ce sont les immigrants qui boivent l'eau des westerniens	3	-3	3	-3	2	2	0	0	-3	3	-3	3	-2	-2	0	0	NA	NA
77	planete	economie	capitaliste	Les piverts westerniens menacés par un projet minier	Le projet ne garantirait pas la sécurité d'une reserve naturelle hébérgeant 90% de la population mondiale du pivert westernien, emblême de la nation	0	normal	https://cdn.pixabay.com/photo/2016/11/03/15/54/bird-1794791_960_720.jpg	Le développement économique a la priorité	>Privilégier notre embême national et l'environnement	-2	-2	-4	4	-2	-2	0	0	2	2	4	-4	2	2	0	0	NA	NA
78	culture	societe	reactionnaire	L’Hymne nationale reprise en reggae	Entre provocation et deconstruction de l’esprit patriotique, l’Art n’excuse pas tout	0	normal	https://cdn.pixabay.com/photo/2014/03/18/20/22/sunset-290191_960_720.jpg	Je suis un grand fan de reggae	Retirer la nationalité westernienne à ce clown	2	-6	2	-6	-2	-2	0	0	-2	3	-3	6	2	2	0	0	NA	NA
79	culture	economie	capitaliste	Clip au palais  de Westernia City : PMURT imposent leur culture dans un des temples mondiaux de l’Art	Le RNB americain vaudrait autant qu’une peinture du XVIème siècle	0	normal	https://cdn.pixabay.com/photo/2016/11/21/14/30/black-people-1845715_960_720.jpg	Un autographe de PMURT ça n’a pas de prix	Nous ne devons pas brader notr patrimoine culturel	2	2	-2	4	0	0	-2	-2	-2	-2	2	-4	0	0	2	2	NA	NA
80	culture	societe	progressiste	Invasion de mangas	Ces livres bon marché et qui se lisent à l’envers rencontrent un grand succés chez les jeunes	0	normal	https://cdn.pixabay.com/photo/2018/04/17/10/31/shelf-3327187_960_720.jpg	Certaines de ces oeuvres devraient être au programme scolaire	Censurer les mangas et limiter leur distribution	-2	4	-3	6	0	0	0	0	3	-6	2	-4	-1	0	0	0	NA	NA
81	culture	societe	progressiste	Inflation d’’oeuvre issue du chromatisme cinétique et de l’abstraction futuro-surréaliste	l’art moderne occuppe une place de plus en plus pregnante dans la vie culturelle du pays	0	normal	https://cdn.pixabay.com/photo/2017/02/15/15/38/abstract-2069048_960_720.jpg	Je préfère quand c’est des bonhommes bien dessinés	Installer ces choses dans les prisons pour pousser les détenus au suicide	2	2	2	-4	-2	-2	0	0	0	0	2	4	-1	-1	1	1	NA	NA
82	culture	societe	progressiste	Les enfants ne savent plus lire ni écrire	La télévision, les mangas et toutes ces choses modernes ont détournés nos chères têtes blondes de s livres de la bibliothéque rose	0	normal	https://cdn.pixabay.com/photo/2015/12/15/06/42/kids-1093758_960_720.jpg	Offrir un exemplaire de la biographie du président à chaque enfant	Créer un programme éducatif télévisuel	-2	-4	2	-4	0	0	2	-2	-3	5	-3	5	0	0	2	2	NA	NA
83	culture	faits_divers	NA	Histoire(s) culturelle(s) des lavabos	L’évier prend des sens très différents selon les pays	0	normal	https://cdn.pixabay.com/photo/2016/03/27/23/02/bathroom-cabinet-1284626_960_720.jpg	Evier Metal !	Subventionner une  école doctorale dédié à l’étude des lavabos à travers l’Histoire	2	NA	0	NA	-2	NA	0	NA	-2	NA	0	NA	2	NA	1	NA	NA	NA
84	politique	economie	pragmatique	Le Président et les militaires, au garde à vous	Depuis la crise économique, le président multiplie les signe d’attention mais sera jugé sur l’effort budgétaire	0	normal	https://cdn.pixabay.com/photo/2014/12/07/15/08/soldiers-559761_960_720.jpg	Nos soldats sont si braves !	Augmenter le budget de l’armée en baissant les dotations des sénateurs	3	-2	0	4	0	0	0	-2	-2	-2	2	-4	2	2	-4	-4	NA	NA
